sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s102,20,1,4,0.22999285163309893,1.649
s102,21,1,4,0.3480958274602058,2.002
s102,22,2,12,1.2063099307456862,8.537
s102,23,2,4,0.2439451763856516,2.253
s102,24,3,12,1.0948698587672057,5.161
s102,25,3,8,0.782185441277581,3.464
s102,26,1,8,0.903859022839898,4.501
s102,27,1,8,0.7800859009552285,3.537
s102,28,4,4,0.37938775438294,2.44
s102,29,1,8,0.6866881405693959,2.887
s102,30,3,4,0.515250005304439,2.291
s102,31,2,12,0.7300736761639615,5.96
s102,32,3,4,0.3936170419207448,2.217
s102,33,1,4,0.4213010295573949,2.077
s102,34,4,8,0.86868078983075,5.876
s102,35,3,4,0.2974185091880462,1.736
s102,36,3,4,0.33705221950870473,1.937
s102,37,1,4,0.44860998297124055,2.255
s102,38,1,12,1.017668344728367,4.919
s102,39,3,8,0.6421813617712987,3.144
s102,40,2,8,0.6171703276966432,5.067
s102,41,3,8,0.581432050933361,2.916
s102,42,4,4,0.48245180442468233,3.226
s102,43,4,12,0.8598072542708999,6.041
s102,44,3,4,0.5067439107688211,2.754
s102,45,1,4,0.4294326458805432,2.308
s102,46,3,12,0.9983968196296904,4.407
s102,47,1,12,0.7828250868830229,3.756
s102,48,1,12,0.7157235987940745,3.969
s102,49,4,4,0.6981109406538507,4.565
s102,50,3,4,0.4067296726725357,2.046
s102,51,1,8,0.6616474827962856,2.838
s102,52,3,4,0.3609034604473805,1.711
s102,53,1,8,0.8031879885012975,3.976
s102,54,2,8,0.98468183583559,6.195
s102,55,3,12,0.8898825951714456,3.306
s102,56,4,4,0.19531415857966256,1.32
s102,57,2,12,1.9449036173451304,9.313
s102,58,3,8,0.8429609484640034,2.764
s102,59,2,12,1.2989182033121855,5.434
s102,60,1,4,0.3260442114364208,1.929
s102,61,2,4,0.31391674643781425,1.764
s102,62,3,12,0.9432209950531968,3.844
s102,63,1,4,0.34638167989876856,1.57
s102,64,3,8,0.9078620346305464,3.148
s102,65,4,4,0.482997256328907,2.37
s102,66,2,8,0.7951493173743553,4.149
s102,67,1,8,0.556279444641585,2.531
s102,68,2,8,1.4589966176262998,8.375
s102,69,1,4,0.3911516537402728,1.744
s102,70,2,8,0.5741291657445271,3.49
s102,71,1,12,1.0245196220380015,3.976
s102,72,1,12,0.8905088494436422,3.566
s102,73,2,4,0.2742275396692951,2.011
s102,74,1,12,1.1348038381546863,3.445
s102,75,3,12,1.212761994035229,5.282
s102,76,4,8,0.8728794275683158,5.886
s102,77,3,8,0.7500923748976599,3.12
s102,78,3,4,0.4388729512058162,2.024
s102,79,2,4,0.3557235839126444,2.562
s102,80,3,12,1.0160269377344475,3.659
s102,81,4,8,0.8989818522405078,4.218
s102,82,3,12,1.0936731323300155,4.106
s102,83,4,12,0.8893149754180275,6.389
s102,84,4,12,1.3180423770544765,7.83
s102,85,2,4,0.4042759644947777,2.454
s102,86,3,12,1.1023333456153126,4.127
s102,87,4,4,0.3331731205930951,1.656
s102,88,3,8,0.6937585679789702,2.612
s102,89,3,12,1.3484980485309708,5.518
s102,90,1,12,0.9850758863771464,4.016
s102,91,2,8,0.7584532876067225,3.476
s102,92,3,4,0.35384234930736175,1.553
s102,93,4,4,0.7589191902626604,3.624
s102,94,2,8,0.6982085773249648,4.572
s102,95,2,12,0.7366849071767338,4.757
s102,96,2,4,0.3693815618018488,2.648
s102,97,4,12,1.230257134640598,6.696
s102,98,2,8,0.9166489758366264,5.964
s102,99,3,8,0.8261435931117735,3.388
s102,100,3,4,0.4091408322652041,1.673
s102,101,1,12,1.0197045507491298,3.506
s102,102,3,12,0.9836194726575196,3.988
s102,103,2,4,0.7591280947978223,3.701
s102,104,2,12,0.99534983077498,5.206
s102,105,2,12,0.6083496640147036,4.831
s102,106,3,8,0.6209883814314751,2.477
s102,107,3,4,0.3746865045236412,1.503
s102,108,3,8,0.4011932047516165,2.004
s102,109,1,12,0.9544414835158204,4
s102,110,2,12,0.616894625424226,4.528
s102,111,1,4,0.5388143375641088,1.758
s102,112,2,8,0.8900822628359502,6.501
s102,113,2,4,0.21851194050516487,1.566
s102,114,3,8,0.6555714305725444,2.74
s102,115,4,8,0.453075773301007,3.31
s102,116,3,12,1.19289306021733,4.344
s102,117,1,8,0.7321516117445688,3.219
s102,118,3,4,0.4751322311743779,1.637
s102,119,3,4,0.43321811713685854,1.983
s102,120,3,4,0.4079501281641678,1.723
s102,121,2,12,0.8510888602410605,5.322
s102,122,2,4,0.6102880793459196,4.031
s102,123,4,4,0.3774216051751363,2.288
s102,124,4,4,0.6259440371569436,4.333
s102,125,1,8,0.6741352738167397,2.878
s102,126,2,4,0.30663881867221177,2.532
s102,127,1,4,0.48894796674982016,1.799
s102,128,1,12,0.9453417183327324,3.559
s102,129,1,8,0.73860192065296,3.101
s102,130,3,12,0.8754357692113763,3.524
s102,131,1,8,0.7561627797845402,2.6
s102,132,1,12,0.8192573025701935,3.281
s102,133,1,12,0.8272415712117732,3.175
s102,134,2,4,0.3635773238922983,2.264
s102,135,2,12,1.6074726289159038,7.483
s102,136,1,8,0.727658256793838,3.223
s102,137,3,12,1.1598540840762022,4.143
s102,138,3,12,0.9464115719146984,3.995
s102,139,2,8,1.047266351743643,7.065
s102,140,3,12,1.1580238322398864,4.657
s102,141,4,8,0.8955019071343618,5.907
s102,142,3,8,0.6756534762730882,3.481
s102,143,2,12,0.8914234383033814,5.702
s102,144,3,12,0.9322649116733224,3.743
s102,145,3,12,1.2927963829580835,4.799
s102,146,2,12,1.5994985424424255,10.45
s102,147,3,8,0.6449729387346853,2.984
s102,148,3,4,0.31123730092639956,1.596
s102,149,2,12,1.0512452838936683,6.609
s102,150,1,4,0.41560897263911434,1.982
